feature_code,weight_ratio,year,la_name
S12000038,2.84,2016,Renfrewshire
S92000003,2.23,2009,Scotland
S92000003,2.42,2007,Scotland
S92000003,2.49,2004,Scotland
S92000003,2.4,2008,Scotland
S92000003,2.15,2010,Scotland
S92000003,1.95,2015,Scotland
S92000003,2.04,2011,Scotland
S92000003,2.03,2012,Scotland
S92000003,2.02,2013,Scotland
S92000003,2.5,2006,Scotland
S92000003,2.45,2005,Scotland
S92000003,2.43,2003,Scotland
S92000003,2.42,2002,Scotland
S92000003,2.02,2014,Scotland
S92000003,1.95,2017,Scotland
S12000047,1.98,2014,Fife
S12000047,2.09,2003,Fife
S12000047,2.29,2004,Fife
S12000047,2.56,2005,Fife
S12000047,2.59,2006,Fife
S12000047,2.4,2010,Fife
S12000047,2.51,2007,Fife
S12000047,2.36,2009,Fife
S12000047,2.12,2013,Fife
S12000047,2.3,2011,Fife
S12000047,2.27,2012,Fife
S12000047,1.93,2016,Fife
S12000048,1.56,2014,Perth and Kinross
S12000048,1.47,2015,Perth and Kinross
S12000047,2.37,2008,Fife
S12000047,2.14,2002,Fife
S12000047,1.84,2015,Fife
S12000048,1.46,2011,Perth and Kinross
S12000048,1.65,2013,Perth and Kinross
S12000048,1.68,2012,Perth and Kinross
S12000048,1.5,2010,Perth and Kinross
S12000048,1.43,2016,Perth and Kinross
S12000048,1.54,2009,Perth and Kinross
S12000048,1.75,2006,Perth and Kinross
S12000048,1.74,2004,Perth and Kinross
S12000048,1.97,2002,Perth and Kinross
S12000048,1.78,2003,Perth and Kinross
S12000048,1.73,2008,Perth and Kinross
S12000048,1.67,2005,Perth and Kinross
S12000048,1.76,2007,Perth and Kinross
S12000008,1.8,2017,East Ayrshire
S12000010,1.43,2017,East Lothian
S12000006,2.07,2017,Dumfries and Galloway
S12000014,2.34,2017,Falkirk
S12000005,2.99,2017,Clackmannanshire
S12000039,2.66,2017,West Dunbartonshire
S12000040,1.92,2017,West Lothian
S12000011,1.7,2017,East Renfrewshire
S12000013,0.99,2017,Na h-Eileanan Siar
S12000017,1.78,2017,Highland
S12000035,1.83,2017,Argyll and Bute
S12000036,1.64,2017,City of Edinburgh
S12000041,1.35,2017,Angus
S12000021,2.42,2017,North Ayrshire
S12000018,2.02,2017,Inverclyde
S12000020,2.09,2017,Moray
S12000033,1.72,2017,Aberdeen City
S12000034,1.45,2017,Aberdeenshire
S12000030,1.27,2017,Stirling
S12000038,2.7,2017,Renfrewshire
S12000029,1.83,2017,South Lanarkshire
